image_file,human_label,clean_top1_label,clean_top1_idx,clean_top1_prob,hc_top1_label,hc_top1_idx,hc_top1_prob,hc_success,hc_changed_pred,hc_linf,hc_l2,hc_num_pixels_changed,hc_changed_perc,hc_runtime_s
fish.jpg,goldfish,goldfish,1,0.9828678369522095,puffer,397,0.4941175580024719,1,1,76.0,1082.5322265625,230,0.004583864795918368,73.9492328
castle.jpg,castle,castle,483,0.864530622959137,stupa,832,0.3635282516479492,1,1,76.0,1353.6697998046875,360,0.007174744897959184,111.12198620000001
cup.jpeg,cup,cup,968,0.911670446395874,cup,968,0.7923129200935364,0,0,76.0,1196.0924072265625,362,0.0072146045918367345,129.83778059999997
goldfinch.jpeg,hummingbird,jay,17,0.2624797821044922,jay,17,0.2998661994934082,1,0,63.0,162.69296264648438,5,9.964923469387755e-05,1.7719903999999929
seashore.jpeg,seashore,seashore,978,0.4470939338207245,sandbar,977,0.35880669951438904,1,1,70.0,353.9901123046875,20,0.0003985969387755102,6.295709699999975
bubble.jpeg,bubble,bubble,971,0.9997244477272034,bubble,971,0.8923143744468689,0,0,76.0,1538.315673828125,462,0.009207589285714286,159.9227042
goblet.jpeg,goblet,cocktail_shaker,503,0.7821556329727173,cocktail_shaker,503,0.7893772125244141,1,0,71.0,212.85911560058594,5,9.964923469387755e-05,1.903556100000003
hay.jpeg,hay,hay,958,0.9700145125389099,hay,958,0.3113425076007843,0,0,76.0,1639.0533447265625,463,0.00922751913265306,183.26343440000005
water_bottle.jpeg,water jug,water_bottle,898,0.28373751044273376,water_bottle,898,0.2956260144710541,1,0,65.0,163.34625244140625,5,9.964923469387755e-05,2.710349400000041
viaduct.jpeg,viaduct,viaduct,888,0.9991100430488586,viaduct,888,0.9942286014556885,0,0,76.0,1143.9930419921875,315,0.006277901785714286,289.24960980000003
